brand,name,price,rating,ingredients
Clinique,Clinique iD Dramatically Different For Lines & Wrinkles,"Price
$39.50",3.6,"Clinique iD Active Cartridge Concentrate for Irritation: Water\Aqua\Eau, Butylene Glycol, Glycerin, Pentylene Glycol, Hypnea Musciformis (Algae) Extract, Caffeine, Camellia Sinensis (White Tea) Leaf Extract, Algae Extract, Saccharomyces Lysate Extract, Lactobacillus Ferment, Gelidiella Acerosa Extract, Polygonum Cuspidatum Root Extract, Phytosphingosine, Taurine, Yeast Extract\Faex\Extrait De Levure, Dipotassium Glycyrrhizate, Caprylyl Glycol, Xanthan Gum, Disodium EDTA, Sodium Benzoate, Phenoxyethanol, Green 5 (CI 61570), Yellow 5 (CI 19140).

Clinique iD Dramatically Different Hydrating Jelly: Water\Aqua\Eau, Bis-PEG-18 Methyl Ether Dimethyl Silane, Butylene Glycol, Glycerin, Cucumis Sativus (Cucumber) Fruit Extract, Hypnea Musciformis (Algae) Extract, Gelidiella Acerosa Extract, Hordeum Vulgare (Barley) Extract\Extrait D'Orge, Padina Pavonica Thallus Extract, Helianthus Annuus (Sunflower) Seedcake, Sucrose, Caffeine, Sodium Hyaluronate, Hydroxyethyl Urea, Hydrolyzed Rice Extract, Sorbitol, Sodium Polyaspartate, PPG-6-Decyltetradeceth-30, Ethylhexylglycerin, Propylene Glycol Dicaprate, Caprylyl Glycol, Trehalose, Polysorbate 80, Carbomer, Sodium Hydroxide, Hexylene Glycol, Citric Acid, Sodium Citrate, Disodium EDTA, Phenoxyethanol.

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients."
Lancôme,Bienfait Multi-Vital SPF 30 Day Cream Moisturizer,"Price
$56.00",4.7,"Water, Dimethicone, Glycerin, Alcohol Denat., Vp/Eicosene Copolymer, Hydrogenated Polyisobutene, Aluminum Starch Octenylsuccinate, Sucrose Stearate, Silica, Poly C10-30 Alkyl Acrylate, Ribes Nigrum (Black Currant) Seed Oil, Tocopheryl Acetate, Ascorbyl Glucoside, Sodium Polyacrylate, Sodium Hydroxide, Hydroxycitronellal, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Phenoxyethanol, Stearic Acid, Thermus Thermophillus Ferment, Eugenol, Ethylparaben, Triethanolamine, Palmitic Acid, Helianthus Annuus (Sunflower) Seed Oil, Dimethiconol, Panthenol, Xanthan Gum, Benzyl Salicylate, Benzyl Alcohol, Linalool, Oxothiazolidinecarboxylic Acid, Caprylyl Glycol, Alpha-Isomethyl Ionone, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Geraniol, Moringa Pterygosperma Seed Extract, Disodium EDTA, Castanea Sativa (Chestnut) Seed Extract, Rosa Canina Fruit Oil, Methylparaben, Citronellol, Hexyldecanol, Hexyldecyl Laurate, Hexyl Cinnamal. Fragrance."
Neutrogena,Hydro Boost City Shield Water Gel Sunscreen SPF 25,"Sale Price
$23.19
Original Price
$28.99",4.5,"Active: Avobenzone 2%, Homosalate 4%, Octisalate 4%, Octocrylene 2%. Inactive: Water, Glycerin, Caprylyl Methicone, Methyl Methacrylate Crosspolymer, Pentylene Glycol, Sodium Acryloyldimethyltaurate/VP Crosspolymer, Phenoxyethanol, Glyceryl Stearate, Chlorphenesin, Tocopheryl Acetate, Sodium Hyaluronate, Disodium EDTA, Ethylhexylglycerin, Fragrance, Sodium Hydroxide, Blue 1, Red 40."
Murad,Hydro-Dynamic Ultimate Moisture,"Price
$75.00",4.5,"Water (Aqua), C12-15 Alkyl Benzoate, Caprylic/Capric Triglyceride, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Butylene Glycol, Glyceryl Stearate, Glyceryl Behenate/Eicosadioate, Dicaprylyl Carbonate, Butyrospermum Parkii (Shea Butter), Cetearyl Alcohol, Myristyl Myristate, Cetyl Alcohol, Ethoxydiglycol, Phenyl Trimethicone, Stearic Acid, Avena Sativa (Oat) Kernel Extract, Yeast Extract (Faex), Algae Extract, Glycine Soja (Soybean) Sterols, Zea Mays (Corn) Starch, Olea Europaea (Olive) Fruit Oil, Persea Gratissima (Avocado) Oil, Sodium Hyaluronate, Dipotassium Glycyrrhizate, Tetrahexyldecyl Ascorbate, Tocopheryl Acetate, Linoleic Acid, Phospholipids, Polysorbate 60, Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Isohexadecane, Glyceryl Polymethacrylate, Panthenol, Jojoba Alcohol, Potassium Jojobate, Polysorbate 80, Urea, Glucosamine HCl, PEG-8, Bisabolol, Sorbitan Oleate, Cetearyl Methicone, Dimethicone, Palmitoyl Oligopeptide, Retinyl Palmitate, Allantoin, Xanthan Gum, Disodium EDTA, BHT, Ethylhexylglycerin, Chlorphenesin, Phenoxyethanol."
Murad,Intense Recovery Cream,Only at Ulta Beauty,4.7,"Water/Aqua/Eau, Ethylhexyl Palmitate, Betaine, Cetearyl Methicone, Cetearyl Alcohol, Cetyl Myristate, Stearyl Dimethicone, Macadamia Ternifolia Seed Oil, Pyrus Malus (Apple) Fruit Extract, Glycerin, Butylene Glycol, Butyrospermum Parkii (Shea) Butter, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Polysorbate 60, Dimethicone, Behenyl Alcohol, Glycol Distearate, Mentha Viridis (Spearmint) Leaf Oil, Pogostemon Cablin Oil, Citrus Medica Limonum (Lemon) Peel Oil, Lavandula Hybrida Oil, Mentha Arvensis Leaf Oil, Cedrus Atlantica Bark Oil, Chlorella Emersonii Extract, Mirabilis Jalapa Extract, Tocopherol, Helianthus Annuus (Sunflower) Seed Extract, Coccinia Indica Fruit Extract, Solanum Melongena (Eggplant) Fruit Extract, Ocimum Sanctum Leaf Extract, Curcuma Longa (Tumeric) Root Extract, Corallina Officinalis Extract, Ocimum Basilicum (Basil) Flower/Leaf Extract, Simmondsia Chinesis (Jojoba) Seed Oil, Aloe Barbadensis Flower Extract, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Urea, Yeast Amino Acids, Trehalose, Inositol, Taurine, Xanthan Gum, Propanediol, Octadecene, Polysorbate 20, Sodium Hydroxide, Disodium EDTA, Hexylene Glycol, Ethylhexylglycerin, Caprylyl Glycol, Phenoxyethanol, Limonene, Linalool."
SUNDAY RILEY,Ice Ceramide Moisturizing Cream,"Price
$65.00",4.3,"Extract Blend [Water/Eau/Aqua, Chondrus Crispus (Red Algae) Extract], Squalane, C13-15 Alkane (from Sugarcane), Glycerin, Helianthus Annuus (Sunflower) Seed Wax, Lanolin Alcohol, Tri(Polyglyceryl-3/Lauryl) Hydrogenated Trilinoleate, Cocos Nucifera (Coconut) Fruit Extract, Ceramide NP, Ceramide EOP, Ceramide AP, Sodium Hyaluronate, Linoleic Acid, Oleic Acid, Palmitic Acid, Linolenic Acid, Prunus Amygdalus Dulcis (Sweet Almond) Fruit Extract, Fructooligosaccharides, Beta Vulgaris (Beet) Root Extract, Shea Butter Ethyl Esters, Prunus Armeniaca (Apricot) Fruit Extract, Pimpinella Anisum (Anise) Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Vanilla Planifolia Fruit Extract, Cucumis Melo (Melon) Fruit Extract, Punica Granatum Sterols, Rosa Damascena Flower Oil, Ananas Sativus (Pineapple) Fruit Extract, Cinnamomum Cassia Leaf Oil, Ricinus Communis (Castor) Seed Oil, Rhus Verniciflua Peel Wax/Rhus Succedanea Fruit Wax, Sodium Lauroyl Lactylate, Sodium Polyacryloyldimethyl Taurate, Triethyl Citrate, Tapioca Starch, Sodium Benzoate, Potassium Sorbate, Sodium Phytate, Magnesium Stearate, Magnesium Aspartate, Pentylene Glycol, Tocopherol, Phytosphingosine, Cholesterol, Lithothamnion Calcareum Extract, Zinc Gluconate, Stearic Acid, Copper Gluconate, Phenoxyethanol, Polymethylsilsesquioxane, Xanthan Gum, Carbomer."
Curél,Intensive Moisture Facial Cream,"Sale Price
$21.00
Original Price
$30.00",4.7,"Water/Aqua, Glycerin, Cetyl-PG Hydroxyethyl Palmitamide, Cyclopentasiloxane, Squalane, Risiloxane, Dimethicone, PEG-3 Dimethicone, Allantoin, Magnesium Sulfate, Butylene Glycol, Isostearyl Glyceryl Ether, PEG-12 Dimethicone, Succinic Acid, Sodium Hydroxide, Bis-Methoxypropylamido Isodocosane, Eucalyptus Globulus Leaf Extract, Tocopherol, Methylparaben."
Philosophy,Purity Made Simple Moisturizer,"Price
$28.00",4.5,"Aqua/Water/Eau, Cyclopentasiloxane, Bis-PEG-18 Methyl Ether Dimethyl Silane, Glycerin, Butylene Glycol, Butyrospermum Parkii (Shea) Butter, Glyceryl Stearate, PEG-100 Stearate, Cetearyl Alcohol, Cetyl Alcohol, Limnanthes Alba (Meadowfoam) Seed Oil, Phenoxyethanol, Stearic Acid, Tocopheryl Acetate, Salvia Hispanica Seed Oil, Panthenol, Parfum/Fragrance, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Linalool, BHT, Ascorbyl Glucoside, Disodium EDTA, Sodium Hydroxide, PEG-8, Tocopherol, Sodium Hyaluronate, Lecithin, Alcohol Denat., Geraniol, Polyglyceryl-3 Diisostearate, Pantolactone, Ascorbyl Palmitate, Citronellol, Camellia Sinensis Leaf Extract, Coffea Arabica (Coffee) Seed Extract, Pongamia Pinnata Seed Extract, Benzyl Benzoate, Limonene, Ascorbic Acid, Angelica Archangelica Root Extract, Citrus Aurantium Amara (Bitter Orange) Peel Extract, Maltodextrin, Citric Acid, Magnesium Aluminum Silicate, Xanthan Gum, Caprylyl Glycol, Sclerotium Gum, Sorbic Acid, Fd&Amp;C Yellow No. 5 (CI 19140), Fd&Amp;C Yellow No. 6 (CI 15985)."
La Roche-Posay,Anthelios 50 Daily Face Primer with Sunscreen SPF 50,"Sale Price
$31.99
Original Price
$39.99",4.3,"Active: Avobenzone 3% (Sunscreen), Homosalate 10% (Sunscreen), Octisalate 5% (Sunscreen), Octocrylene 5% (Sunscreen), Oxybenzone 6% (Sunscreen).

Inactive: Dimethicone, C12-15 Alkyl Benzoate, Talc, Diisopropyl Sebacate, Silica Silylate, Glycerin, Trimethylsiloxysilicate, Dimethicone Crosspolymer, Water, Diethylhexyl Sryingylidenemalonate, Cassia Alata Leaf Extract, Maltodextrin."
GLAMGLOW,GLOWSTARTER Mega Illuminating Hyaluronic Acid Moisturizer,"Price
$50.00",4,"Water\Aqua\Eau, Dimethicone, Butylene Glycol, Glyceryl Distearate, Cetyl Ricinoleate, Trisiloxane, Glyceryl Stearate Se, Cholesterol, Steareth-10, Simmondsia Chinensis (Jojoba) Seed Oil, Butyrospermum Parkii (Shea Butter), Cetyl Esters, Cetyl Alcohol, Glycerin, Tocopheryl Acetate, Sodium Hyaluronate, Algae Extract, Camellia Sinensis (Green Tea) Leaf Extract, Cucumis Sativus (Cucumber) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Saccharomyces Lysate Extract, Scutellaria Baicalensis Root Extract, Ceramide Ng, Isohexadecane, Synthetic Fluorphlogopite, Sucrose, Polysorbate 80, Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Xanthan Gum, Caprylyl Glycol, Hexylene Glycol, Citric Acid, Linoleic Acid, Panthenol, Fragrance (Parfum), Limonene, Citral, Linalool, Disodium Edta, Magnesium Ascorbyl Phosphate, Sodium Citrate, Phenoxyethanol. May Contain: Mica, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491), Iron Oxides (Ci 77492), Iron Oxides (Ci 77499), Blue 1 (Ci 42090), Red 4 (Ci 14700), Red 33 (Ci 17200), Yellow 5 (Ci 19140)."
